ip,country,city,latitude,longitude
121.44.79.249,AU,Perth,-31.9558933,115.8605855
1.159.239.145,AU,Perth,-31.9558933,115.8605855
130.95.254.67,AU,Claremont,-31.980291,115.7839988
58.178.219.34,AU,Dunsborough,-33.614656,115.1065921
1.159.239.145,AU,Perth,-31.9558933,115.8605855
180.150.81.170,AU,Leinster,-27.9141349,120.6977266
60.241.66.23,AU,Perth,-31.9558933,115.8605855
218.215.214.239,AU,Perth,-31.9558933,115.8605855
106.68.231.231,AU,Melbourne,-37.8142454,144.9631732
106.68.231.231,AU,Melbourne,-37.8142454,144.9631732
106.68.214.213,AU,Perth,-31.9558933,115.8605855
120.16.189.64,AU,Iluka,-31.7362652,115.7312093
